,ID,Title,URL,Dates,Date Range,Description,Subjects_one,Subjects_two,Subjects_three,Subjects_four,Subjects_five,Subjects_six,Subjects_seven,Subjects_eight,Subjects_nine,Subjects_ten,Subjects_eleven,Subjects_twelve,Subjects_grouped,Location_one,Location_two,Location_three,Location_four,Location_five,Locations_grouped
143,8da379af6e4a75b087239829f35bf535, 'The Bureau of immigration: its history' ,http://catalog.hathitrust.org/Record/101874136,1924,1920-1930, '14' ,   United States. Bureau of Immigration  ,    Emigration and immigration law--United States  ,,,,,,,,,,,   United States. Bureau of Immigration      Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
144,7ccb8ab208771df167b7bb73b93361c6," 'Restriction of immigration : hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-fourth Congress, first session, on H.R. 558, Thursday, January 20, 1916 and Friday, January 21, 1916 : statement of Hon. John L. Burnett' ",http://catalog.hathitrust.org/Record/100479395,1916,1910-1920,,   Emigration and immigration law--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
145,2d827187fbf5957ea28f7e4aac7494f8," 'Naturalization laws and regulations, October 1, 1912' ",http://catalog.hathitrust.org/Record/101715129,1912,1910-1920," 'Includes index.', '""The only changes from the edition of November 11, 1911, appear on pages 17 and 19, being Sec. 2170, R. S. U.S., and Sec. 9 of the Act of August 24, 1912.""', '""This edition supersedes all previous editions.""', 'At head of title: Department of Commerce and Labor, Bureau of Immigration and Naturalization, Division of Naturalization.' ",   Naturalization--United States  ,,,,,,,,,,,,   Naturalization--United States  ,   United States  ,,,,,   United States  
146,8f72c203c20f889142640cb0e5d12031, 'Laws and regulations affecting the control of persons entering and leaving the United States' ,http://catalog.hathitrust.org/Record/101713527,1942,1940-1950,,"   World War, 1939-1945--Law and legislation--United States  ",    Aliens--United States  ,    Emigration and immigration law--United States  ,,,,,,,,,,"   World War, 1939-1945--Law and legislation--United States      Aliens--United States      Emigration and immigration law--United States  ",   United States  ,,,,,   United States  
147,77dda11cdf0ccf152d71f4accd8f6eeb," 'Restriction of immigration : hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-fourth Congress, first session, on H.R. 558, Thursday, January 20, 1916 and Friday, January 21, 1916 : statements of Simon Wolf and Louis Marshall' ",http://catalog.hathitrust.org/Record/100431612,1916,1910-1920,,   Emigration and immigration law--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
148,d4dafd0c718b989cb20d12d39ef61af2, 'From Deck of Immigration Boat which brings Immigrants from steamships coming from Europe to Ellis Island looking to group of immigrants just arrived from Europe' ,http://ark.cdlib.org/ark:/13030/kt1d5nd0m8,1926,1920-1930, 'From Deck of Immigration Boat which brings Immigrants from steamships coming from Europe to Ellis Island looking to group of immigrants just arrived from Europe.' ,   People  ,    Immigrants  ,    Facilities  ,    Buildings  ,    Ellis Island  ,,,,,,,,   People      Immigrants      Facilities      Buildings      Ellis Island  ,   North and Central America  ,    United States  ,    New York  ,,,   North and Central America      United States      New York  
149,43060c5d4ce5cc1d7a6f0c2791ee6716," 'The laws, treaty, and regulations relating to the exclusion of Chinese from the United States' ",http://catalog.hathitrust.org/Record/100332513,1903,1900-1910," 'Rearranged, with index, from the octavo edition of July 1903.', 'At head of title: Department of commerce and labor.' ",   Emigration and immigration law--United States  ,    Chinese--United States  ,,,,,,,,,,,   Emigration and immigration law--United States      Chinese--United States  ,   United States  ,,,,,   United States  
150,7d94d31ab4845f51409ef10e42c4ec6a," 'Repeal of the Chinese exclusion acts : hearings before the Committee on Immigration and Naturalization, House of Representatives, 78th Congress, 1st session, on H.R. 1882 and H.R. 2309, bills to repeal the Chinese exclusion acts, to put the Chinese on a quota basis, and to permit their naturalization : May 19, 20, 26, 27 and June 2, 3, 1943' ",http://catalog.hathitrust.org/Record/100670405,1943,1940-1950,,   Chinese Americans  ,    Emigration and immigration law--United States  ,,,,,,,,,,,   Chinese Americans      Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
151,e4adb371dedb4f86d7358891db5305c3, 'View of part of the front facade of the Immigration Station; the New York skyline is barely discernable through the haze in the background.' ,https://digitalcollections.nypl.org/items/35158690-c6da-012f-0ca6-58d385a7bc34,1902,1900-1910, 'No. 29176.' ,   Ellis Island Immigration Station (N.Y. and N.J.)  ,,,,,,,,,,,,   Ellis Island Immigration Station (N.Y. and N.J.)  ,nan,,,,,nan
152,3bc54b9f529f6d8613c9dfa5d5d1344d," 'Government, City: United States. New York. New York City: Heights of Buildings, New York City: Unimproved property in outlying parts of New York City. Black represents vacant land. By means of special laws governing districting of such areas the municipality may keep this land from being used in ways detrimental to public interest. (Source: Report of the Heights of Buildings Commission...New York, 1913.)' ",https://www.harvardartmuseums.org/collections/object/3.2002.1531.1,1912,1910-1920," 'Credit Line: Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Social Museum Collection' ",   Archival Material  ,,,,,,,,,,,,   Archival Material  ,nan,,,,,nan
153,a8516992f5c5f2fbb1f28163daedcbd1," 'Government, City: United States. New York. New York City: Heights of Buildings, New York City: Unimproved property in outlying parts of New York City. Black represents vacant land. By means of special laws governing districting of such areas the municipality may keep this land from being used in ways detrimental to public interest. (Source: Report of the Heights of Buildings Commission...New York, 1913.)' ",https://www.harvardartmuseums.org/collections/object/3.2002.1531,1912,1910-1920," 'Credit Line: Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Social Museum Collection' ",   Photographs  ,,,,,,,,,,,,   Photographs  ,nan,,,,,nan
154,b506da2c83c01293f37d669b63fe0be0, 'Administrative tribunals and the rules of evidence; a study in jurisprudence and administrative law' ,http://catalog.hathitrust.org/Record/008854325,1933,1930-1940," 'I. Public service commission statutes containing no provision concerning the rules of evidences. -II. References to immigration statutes examined. -III. References to rules examined.', '""Table of authorities"": p.  113 -120.' ",   United States. Bureau of Immigration  ,    United States. Federal Trade Commission  ,    United States. Interstate Commerce Commission  ,    Public service commissions--United States  ,    Evidence (Law)--United States  ,    Administrative law--United States--Bibliography  ,    Administrative courts--United States  ,,,,,,   United States. Bureau of Immigration      United States. Federal Trade Commission      United States. Interstate Commerce Commission      Public service commissions--United States      Evidence (Law)--United States      Administrative law--United States--Bibliography      Administrative courts--United States  ,   United States  ,,,,,   United States  
155,3f886130c9717056c594d083760439f4," 'Treaty, laws, and rules governing the admission of Chinese Regulations approved April 18, 1910', 'Laws, etc' ",http://catalog.hathitrust.org/Record/100787664,1911,1910-1920," 'At head of title: Department of Labor, Bureau of Immigration and Naturalization.' ",   United States. Bureau of Immigration and Naturalization  ,    Emigration and immigration law--United States  ,    Chinese--United States  ,,,,,,,,,,   United States. Bureau of Immigration and Naturalization      Emigration and immigration law--United States      Chinese--United States  ,   United States  ,,,,,   United States  
156,ee77f19db208f2a3234de5671505c64f," 'Hearings before Subcommittee on Immigration and Naturalization, House of Representatives, on H.R. 11326' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099810370203941,1908,1900-1910," 'Volumes not numbered. Second vol. has title: Hearings before Committee on Immigration and Naturalization, House of Representatives, on H.R. 11326 (continuation).', 'Hearings held during the 60th Congress, 1st session, February 18, 1908.' ",   Emigration and immigration law  ,    Reading  ,    Ability testing  ,    Legislative hearings  ,    Emigration and immigration  ,,,,,,,,   Emigration and immigration law      Reading      Ability testing      Legislative hearings      Emigration and immigration  ,   United States  ,,,,,   United States  
157,5b9015aa6ef2fbc00591c655c82dea82," 'Immigration of aliens into the United States April 27, 1906, committed to the Committee of the Whole House on the state of the Union and ordered to be printed : Mr. Gardner, of Massachusetts, from the Committee on Immigration and Naturalization, submitted the following report (to accompany H.R. 18673)' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099832430203941,1906,1900-1910, 'Caption title.' ,   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
158,f5e43798fbc3eff9fbd436df96b757cd," 'The tariff, organized labor, and immigration speech of Hon. John L. Burnett, of Alabama, in the House of Representatives, Monday, April 28, 1913' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099886040203941,1913,1910-1920," 'Caption title.', '""The House in Committee of the Whole House on the state of the Union had under consideration the bill (H.R. 3321) to reduce tariff duties and to provide revenue for the Government, and for other purposes""--p.  1 .' ",   Tarriff  ,    Labor unions  ,    Wages  ,    Foreign workers  ,    Emigration and immigration  ,,,,,,,,   Tarriff      Labor unions      Wages      Foreign workers      Emigration and immigration  ,   United States  ,,,,,   United States  
159,c0572d4cc4bfdd3fb1b51294e80a43d2," 'White Slave Traffic Act of June 25, 1910 its passage through the Senate of the United States : with views of the majority and minority of the Senate Committee on Immigration : presented by Mr. Dillingham' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099910760203941,1910,1910-1920," 'Caption title.', '""December 13, 1910.--Ordered to be printed.""', '""(Public--no. 277.) (H.R. 12315.).""' ",   Prostitution  ,    Law and legislation  ,    Women immigrants  ,"    Legal status,  laws,  etc  ",    Women foreign workers  ,    Women  ,    Social conditions  ,,,,,,"   Prostitution      Law and legislation      Women immigrants      Legal status,  laws,  etc      Women foreign workers      Women      Social conditions  ",   United States  ,,,,,   United States  
160,f67bf488d9e7363292792e6839fb09b1," 'Immigration of aliens Mr. Shattuc, from the Committee on Immigration and Naturalization, submitted the following Report (to accompany H.R. 12199)' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990099922410203941,1902,1900-1910," 'Caption title.', '""March 18, 1902 -- Committed to the Committee of the Whole House on the state of the Union and ordered to be printed.""' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
161,f76b42f42537dff8fc29d951e134cf74," 'Campaign expenses, immigration, prize fight pictures remarks of Hon. S.A. Roddenbery of Georgia in the House of Representatives, July 9, 18, and 19, 1912' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100134780203941,1912,1900-1910,,   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
162,bab2f0e0816d7300ac4002bb7b380c27," 'H.R. 12298, in the House of Representatives December 3, 1890, read twice, referred to the Select Committee on Immigration and Naturalization, and ordered to be printed : Mr. Owen, of Indiana, introduced the following bill : a bill to regulate immigration' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990112608070203941,1890,1890-1900," 'Caption title.', 'At head of title: 51st Congress, 2d session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
163,c6a0e9bfccadf237bb9d1639d9ba6409," 'Letter from the Secretary of the Treasury transmitting in further response to a resolution of the 28th of March, information in regard to the evasions of the Chinese exclusion act : June 3, 1890, referred to the Committee on Immigration and ordered to be printed' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990112889060203941,1890,1890-1900," 'Caption title.', 'At head of title: 51st Congress, 1st session.', 'Transmittal letter signed: W. Windom, Secretary.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,    China  ,,,,   United States      China  
164,baceefb087bb726ae049f1f55894de97," 'H.R. 8459, in the House of Representatives December 15, 1905, Mr. Gardner of Massachusetts, introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : a bill to regulate the immigration of aliens into the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100030840203941,1905? ,," 'Caption title.', 'At head of title: 59th Congress, 1st session.' ",   Emigration and immigration law  ,    Poll tax  ,    Emigration and immigration  ,,,,,,,,,,   Emigration and immigration law      Poll tax      Emigration and immigration  ,   United States  ,,,,,   United States  
165,5cbfbc087b3132e2ec41581501c9326e," 'H.R. 16557, in the House of Representatives March 12, 1906, Mr.Lever introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : a bill to amend an act entitled ""an Act to regulate the immigration of aliens into the United States,"" approved March third, nineteen hundred and three' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100035040203941,1906,1900-1910," 'Caption title.', 'At head of title: 59th Congress, 1st session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
166,dbe0e0715c8a398a1c570b0ea6f691f1," 'H.R. 4360, in the House of Representatives December 10, 1901, Mr. Shattuc introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : A bill to provide for the exclusion and deportation of alien anarchists' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100045330203941,1901,1900-1910," 'Caption title.', 'At head of title: 57th Congress, 1st session.' ",   Anarchists  ,    Immigrants  ,    Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,   Anarchists      Immigrants      Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
167,a8ca27d969243f2956c900624749aeea," 'S. 3786, in the Senate of the United States January 28, 1893, Mr. Chandler, from the Committee on Immigration, reported the following bill, which was read the first and second times by unanimous consent : a bill establishing additional regulations concerning immigration to the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100072620203941,1893,1890-1900," 'Caption title.', 'At head of title: 52d Congress, 2d session.' ",   Emigration and immigration law  ,    Steamboats  ,    Passenger accommodation  ,    Reading  ,    Ability testing  ,    Emigration and immigration  ,,,,,,,   Emigration and immigration law      Steamboats      Passenger accommodation      Reading      Ability testing      Emigration and immigration  ,   United States  ,,,,,   United States  
168,7e041dd5924fbf4136019af0ac889221," 'H.R. 6625, in the House of Representatives April 10, 1894, referred to the Committee on Immigration and Naturalization and ordered to be printed : Mr. Griffin introduced the following bill : a bill to amend the act prohibiting importation and immigration of foreigners and aliens under contract to perform labor in the United States, and so forth' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100117900203941,1894,1890-1900," 'Caption title.', 'At head of title: 53d Congress, 2d session.' ",   Emigration and immigration law  ,    Foreign workers  ,    Government policy  ,    Contract labor  ,    Emigration and immigration  ,,,,,,,,   Emigration and immigration law      Foreign workers      Government policy      Contract labor      Emigration and immigration  ,   United States  ,,,,,   United States  
169,cf46949b86cfbedb763f6f904236ca00," 'H.R. 7897, in the House of Representatives August 6, 1894, referred to the Committee on Immigration and Naturalization and orderd to be printed : Mr. Geissenhainer introduced the following bill : a bill to amend as amended the various acts relative to immigration and the importation under contract or agreement to perform labor' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100118500203941,1894,1890-1900," 'Caption title.', 'At head of title: 53d Congress, 2d session.' ",   Emigration and immigration law  ,    Anarchists  ,    Government policy  ,    Emigration and immigration  ,,,,,,,,,   Emigration and immigration law      Anarchists      Government policy      Emigration and immigration  ,   United States  ,,,,,   United States  
170,d5e360992796a7e4cff514fbf938e5d8," 'H.R. 15159, in the House of Representatives June 18, 1902 : Mr. Shattuc introduced the following bill, which was referred to the Committee on Immigration and Naturalization and ordered to be printed : a bill to regulate the immigration of aliens into the United States' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100124960203941,1902,1900-1910," 'Caption title.', 'At head of title: 57th Congress, 1st session.' ",   Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law      Emigration and immigration  ,   United States  ,,,,,   United States  
171,4b382bb3341f55468230c5bda461fb50," 'S. 2960, in the Senate of the United States January 16, 1902, Mr. Mitchell introduced the following bill, which was read twice and referred to the Committee on Immigration : a bill to prohibit the coming into and to regulate the residence within the United States, its territories, and all possessions and all territory under its jurisdiction, and the District of Columbia, of Chinese persons and persons of Chinese descent' ",https://id.lib.harvard.edu/curiosity/immigration-to-the-united-states-1789-1930/39-990100127170203941,1902,1900-1910," 'Cover title.', 'At head of title: 57th Congress, 1st session.' ",   Chinese  ,    Immigrants  ,    Emigration and immigration law  ,    Emigration and immigration  ,,,,,,,,,   Chinese      Immigrants      Emigration and immigration law      Emigration and immigration  ,   United States  ,    China  ,,,,   United States      China  
172,281b31788d9b9ec8ab32c4b3241c9a50," 'Proposed amendments to the Immigration Act of 1924 : hearings before the Committee on Immigration and Naturalization, House of Representatives, Seventy-first Congress, second session, on H.R. 5645, H.R. 5646, H.R. 5647, H.R. 5648, H.R. 6852, H.R. 7703 ... January 27 and February 4, 1930' ",http://catalog.hathitrust.org/Record/101703671,1930,1930-1940," '""Hearings no. 71.2.7.""' ","   Married women--Legal status,  laws,  etc  ",    Emigration and immigration  ,  Citizenship  ,   Citizenship--United States  ,    United States  ,    United States--Emigration and immigration , ,, ,, ,,"   Married women--Legal status,  laws,  etc      Emigration and immigration    Citizenship     Citizenship--United States      United States      United States--Emigration and immigration    ",   United States  ,,,,,   United States  
173,2fa63cc6187b9ea759c3b14df740017a," 'I.W.W. deportation cases : hearings before a subcommittee of the Committee on Immigration and Naturalization, House of Representatives, Sixty-sixth Congress, second session, April 27 to 30, 1920 : statement of W. A. Blackwood : reports in the cases of various aliens transferred from Seattle, Wash., and other points to Ellis Island, N.Y., for deportation, and thereafter released' ",http://catalog.hathitrust.org/Record/100563322,1920,1920-1930,,   Industrial Workers of the World  ,    Anarchists--United States  ,    Communists--United States  ,    Emigration and immigration law--United States  ,    Deportation--United States  ,    United States--Emigration and immigration  ,,,,,,,   Industrial Workers of the World      Anarchists--United States      Communists--United States      Emigration and immigration law--United States      Deportation--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
174,72a6b09ca5e685310f04c523fe771004," 'Report of the Select Committee of the House of Representatives to inquire into the alleged violation of the laws prohibiting the importation of contract laborers, paupers, convicts and other classes, together with the testimony, documents and consular reports submitted to the Committee' ",http://catalog.hathitrust.org/Record/101739415,1889,1880-1890," 'To regulate immigration ... Report (to accompany bill H.R. 12291) (House of Representatives, report no. 3792) (6 pages) -- To regulate immigration ... views of the minority (to accompany bill H.R. 12291) (House of Representatives, report no. 3792, part 2) (5 pages) -- To regulate immigration ... views of Mr. Spinola (to accompany bill H.R. 12291) (House of Representatives, report no. 3792, part 3) (1 page) -- H.R. 12291 (Report no. 3792) : in the house of Representatives ... A bill to regulate immigration (3 pages) -- Testimony taken by the Select Committee of the House of Representatives to inquire into the allaged violation of the laws prohibiting the importation of contract laborers, paupers, convicts, and other classes / Charles H. Bender, Official Stenographer, 1888 (799 pages) -- Reports of diplomatic and consular officers concerning emigration from Europe to the United States made in response to certain inquiries propounded to them through the department of state by the Select Committee of the House of Representatives to Inquire into the immigration of paupers, convicts, contract laborers, and other classes, 1889 (157 pages).' ",   Emigration and immigration  ,    Contract labor  ,    Labor  ,    Labor movement  ,    Working class  ,,,,,,,,   Emigration and immigration      Contract labor      Labor      Labor movement      Working class  ,nan,,,,,nan
175,cf15bdf647c6846d288ce625d6009008," 'Restriction of immigration : hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-fourth Congress, first session, on H.R. 558, Thursday, January 20, 1916 : statement of Val Fitzpatrick, vice-president and national legislative representative of the Brotherhood of Railroad Trainmen, speaking for the Brotherhood of Railroad Trainmen, the Order of Railway Conductors, the Brotherhood of Locomotive Engineers, and the Brotherhood of Firemen and Enginemen' ",http://catalog.hathitrust.org/Record/100422242,1916,1910-1920,,   Railroads--United States--Employees  ,    Foreign workers--United States  ,    Emigration and immigration law--United States  ,,,,,,,,,,   Railroads--United States--Employees      Foreign workers--United States      Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
176,2ca5c30d65c02b517fbdea554afe9356," 'Restriction of immigration : hearings before the Committee on Immigration and Naturalization, House of Representatives, Sixty-fourth Congress, first session, on H.R. 558, Thursday, January 20, 1916 and Friday, January 21, 1916 : statements of Hon. Isaac Siegel, Hon. Henry M. Goldfogle' ",http://catalog.hathitrust.org/Record/100422245,1916,1910-1920,,   Emigration and immigration law--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
177,a24f03ff08f8edb61ae47fbbceeb1804," 'Illegal entry of aliens : hearing before the Committee on Immigration, United States Senate, Sixty-Sixth Congress, first session pursuant to S. Res. 176...' ",http://catalog.hathitrust.org/Record/100605416,1919,1910-1920," '""Printed for the use of the Commission on Immigration.""' ",   Emigration and immigration law--United States  ,    Illegal aliens--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,   Emigration and immigration law--United States      Illegal aliens--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
178,a44935e79b4c8e70eff14baa6f7b9f78, 'World immigration' ,http://catalog.hathitrust.org/Record/101883193,1936,1930-1940," '""Bibliographical notes"" at end of each chapter.', '2' ",   Emigration and immigration law--United States  ,    Emigration and immigration  ,    United States--Emigration and immigration  ,,,,,,,,,,   Emigration and immigration law--United States      Emigration and immigration      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
179,b13b060091570ce5a7b31736e0314135, 'Quarantine laws and regulations of the United States' ,http://catalog.hathitrust.org/Record/100331892,1910,1910-1920,,   Quarantine  ,    Emigration and Immigration  ,,,,,,,,,,,   Quarantine      Emigration and Immigration  ,nan,,,,,nan
180,7fb66e2579ec189f98697c8f5d13f5d9," 'Private relief bills regarding irregular admission documents at time of entry : hearings before the Committee on Immigration and Naturalization, House of Representatives, Seventy-fourth Congress, second session. Group of bills under consideration proposing correction of immigration status. May 26, 27, and 28, 1936' ",http://catalog.hathitrust.org/Record/100677146,1936,1930-1940," '""Hearings no. 74-2-3.""' ",   Emigration and immigration law--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Emigration and immigration law--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
181,eb4ff44d4a04fa3817070dc2442428a2," 'The regulation of immigration  electronic resource  : Principal features of the bills introduced into Congress by Congressman Benjamin F. Welty, May 10th, 1920' ",http://catalog.hathitrust.org/Record/101790816,1920,1920-1930," 'Cover title.', 'Digital version available with no restrictions', 'Unrestricted online access', 'star', 'NNC', 'Electronic reproduction.', 'New York, N.Y. :', 'Columbia University Libraries,', '2015.', 'Digitized.', '2015', 'Columbia University Libraries', 'committed to preserve', 'pda' ",   National Committee for Constructive Immigration Legislation  ,    Emigration and immigration law--United States  ,,,,,,,,,,,   National Committee for Constructive Immigration Legislation      Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
182,9beaed465c64b01dd05d3e95d69088b3," ""Amendment to the women's citizenship act of 1922. : Hearings before the Committee on Immigration and Naturalization, House of Representatives, Seventy-fi"" ",http://catalog.hathitrust.org/Record/100669444,1930,1930-1940," 'Hearings held March 6, 1930.', '""Hearings No. 71.2.13.""' ",   Citizenship--United States  ,    Naturalization--United States  ,"    Women--Legal status,  laws, etc.--United States  ",, ,,,,,,,,"   Citizenship--United States      Naturalization--United States      Women--Legal status,  laws, etc.--United States   ",   United States  ,,,,,   United States  
183,cd08b5c0b9941c77c1c1c8dd8d2c2c6a," 'Lack of funds for deportations : Hearings before the Committee on Immigration and Naturalization, House of Representatives, on H.R. 3, H.R. 5673, H.R. 6069' ",http://catalog.hathitrust.org/Record/102656231,1928,1920-1930," 'Albert J. Johnson, chairman.' ",   Emigration and immigration law--United States  ,    Deportation--United States  ,    Legislative hearings  ,,,,,,,,,,   Emigration and immigration law--United States      Deportation--United States      Legislative hearings  ,   United States  ,,,,,   United States  
184,f21c3d2c3ef0d750e8bb2ce64c4d7330," ""For the reenactment of the Chinese exclusion law California's memorial to the President and the Congress of the United States"" ",http://catalog.hathitrust.org/Record/100328195,1902,1900-1910,,   Chinese--United States  ,    United States--Emigration and immigration  ,,,,,,,,,,,   Chinese--United States      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
185,c9d7bc7a43aeab9a921e24d2e879a07d," '""Martial Law,"" Seattle Daily Post-Intelligencer, February 10, 1886' ",http://digitalcollections.lib.washington.edu/cdm/ref/collection/imlsmohai/id/14825,1886,1880-1890," '1886 Seattle\'s earliest Chinese residents are believed to have arrived in the early 1860s, and while welcomed at first for the role they played in the region\'s development, Chinese immigrants were not allowed to vote and were subjected to numerous laws that restricted their rights. In the mid-1870s and early 1880s the national economy took a downturn, increasingly leading white workers to view the Chinese as threats to the few available jobs. In 1882 the federal government passed Chinese Exclusion Act, prohibiting all Chinese labor immigration for ten years. By the mid-1880s anti-Chinese sentiment had spread across the West. City leaders in Seattle began to advocate an orderly and legal-supported expulsion of the local Chinese, but not everyone agreed. On February 7, 1886, violence broke out as a mob began to forcibly eject most of the city\'s Chinese population. At least one person was killed when the mob attacked the Home Guards protecting Chinese residents. Martial law was declared and federal troops remained in Seattle until summer. Although the white population of Seattle quickly moved past these events, it would be 20 years for the Chinese population in Seattle to return to its numbers before the riots. The newspaper pictured here, The Seattle Daily Post-Intelligencer, continues to serve the city as of 2019, although since 2009 as an online-only publication. An article featured in this issue of The Seattle Daily Post-Intelligencer, titled ""Martial Law: Its Effect in Seattle,"" outlines the extent of martial law in the city, an additional call for volunteers, and an update of the wounded men\'s conditions at the hospital, including the information that Charles G. Stewart had died on Tuesday morning. The article ends with ""Notes"" detailing the situation of remaining Chinese residents and a reprint of Territorial Governor Squire\'s call for a return to civil law.' ",   Hate crimes--Seattle  ,Seattle Immigrants--Chinese--Washington (State),Seattle Race discrimination--Washington (State),Washington (State)--Seattle Race riots--Washington (State),Seattle post-intelligencer,,,,,,,,   Hate crimes--Seattle  Seattle Immigrants--Chinese--Washington (State)Seattle Race discrimination--Washington (State)Washington (State)--Seattle Race riots--Washington (State)Seattle post-intelligencer,   United States--Washington (State)--Seattle  ,,,,,   United States--Washington (State)--Seattle  
186,d264cbd9b6e0edd057c6cfe21dafe836," 'Restriction of immigration Hearings before the Committee on immigration and naturalization, House of representatives, Sixty-fourth Congress, first session, on H.R. 558. Thursday, January 20, 1916' ",http://catalog.hathitrust.org/Record/100420395,1916,1910-1920," 'John L. Burnett, chairman.' ",   Emigration and immigration law--United States  ,,,,,,,,,,,,   Emigration and immigration law--United States  ,   United States  ,,,,,   United States  
187,033a0b83b787aa5e62c8f3036ac536a3, 'Reports of the Immigration Commission' ,http://catalog.hathitrust.org/Record/100884477,1911,1910-1920," 'Published as Senate documents of the 61st Congress, 2d and 3d sessions.' ",   Emigration and immigration law--United States  ,    Emigration and immigration  ,    United States--Emigration and immigration  ,,,,,,,,,,   Emigration and immigration law--United States      Emigration and immigration      United States--Emigration and immigration  ,   United States  ,,,,,   United States  
188,727d0bb9ea6d76f3f61232f77bdb5d38, 'Slavic immigrant at Ellis Island' ,https://digitalcollections.nypl.org/items/ba1e7eb0-c608-012f-9430-58d385a7bc34,1905,1900-1910,,  Emigration and immigration  ,    Slavic Americans  ,   United States  ,  20th century  ,    Ellis Island Immigration Station (N.Y. and N.J.)  , ,,,,,,,  Emigration and immigration      Slavic Americans     United States    20th century      Ellis Island Immigration Station (N.Y. and N.J.)   ,   United States  ,,,,,   United States  
189,55ad3c763cff151beb3aa487c6bde365," 'Laws, treaty and regulations relating to the exclusion of Chinese' ",http://catalog.hathitrust.org/Record/100787641,1902,1900-1910,,   Emigration and immigration law--United States  ,    Chinese--United States  ,,,,,,,,,,,   Emigration and immigration law--United States      Chinese--United States  ,   United States  ,,,,,   United States  
